,y_test,y_pred,residual
22,739,53482.51341708764,-52743.51341708764
2548,1745,53629.365357560004,-51884.365357560004
5069,836,53971.38172285193,-53135.38172285193
4727,308,54011.9909694352,-53703.9909694352
439,1709,54134.19659189948,-52425.19659189948
5201,743,54190.301744659984,-53447.301744659984
2204,620,54649.11300258642,-54029.11300258642
5116,5094,54834.62196673347,-49740.62196673347
4400,1500,55351.486447190524,-53851.486447190524
4858,1406,55391.097952812954,-53985.097952812954
5882,1071,55582.82871626054,-54511.82871626054
144,2388,55606.167115592565,-53218.167115592565
4586,607,55666.85749555042,-55059.85749555042
4412,217,55761.74058518752,-55544.74058518752
1969,1529,55980.36387223558,-54451.36387223558
5160,4281,56014.46070246326,-51733.46070246326
1935,286,56204.79555581645,-55918.79555581645
3058,799,56598.49374828448,-55799.49374828448
968,2007,57229.70710096253,-55222.70710096253
2801,373,57321.33202127507,-56948.33202127507
10,826,57333.39376996523,-56507.39376996523
3460,877,57382.328655366895,-56505.328655366895
1752,1516,57512.00741682961,-55996.00741682961
1536,500,57537.63466737475,-57037.63466737475
2697,795,57759.950472543496,-56964.950472543496
2648,990,57840.046922343674,-56850.046922343674
5512,1700,57959.772382164985,-56259.772382164985
1689,1558,57975.333224516704,-56417.333224516704
2513,779,58535.16844991435,-57756.16844991435
793,1150,58575.532328674366,-57425.532328674366
545,1019,58856.54183316547,-57837.54183316547
1961,1049,58885.398495037545,-57836.398495037545
5989,1400,59001.049782720074,-57601.049782720074
2017,797,59204.16418714473,-58407.16418714473
2029,2792,59621.40227336767,-56829.40227336767
1453,924,59633.01677012908,-58709.01677012908
2862,808,59767.72543289204,-58959.72543289204
1223,508,60062.66813733768,-59554.66813733768
729,520,60181.46463565335,-59661.46463565335
787,742,60247.686800864845,-59505.686800864845
2468,786,60278.30339526419,-59492.30339526419
246,2753,60294.60746289988,-57541.60746289988
4365,5067,60638.6989593915,-55571.6989593915
3032,764,60670.25629788677,-59906.25629788677
2889,349,60708.20819248083,-60359.20819248083
4608,1695,60943.59882731905,-59248.59882731905
2857,1341,60951.990059047195,-59610.990059047195
2700,411,61661.36418988116,-61250.36418988116
5126,1327,61731.549887231966,-60404.549887231966
2607,550,61739.82677310042,-61189.82677310042
704,1073,61771.569821235906,-60698.569821235906
3857,750,61777.54057952457,-61027.54057952457
2735,789,62154.37123062062,-61365.37123062062
4033,851,62262.2953108596,-61411.2953108596
5485,323,62434.11359367272,-62111.11359367272
1169,1613,62837.26090856808,-61224.26090856808
3080,488,62964.068211288315,-62476.068211288315
5246,973,63024.158686209186,-62051.158686209186
2708,756,63226.703827713725,-62470.703827713725
4444,1373,63275.306569715256,-61902.306569715256
5791,1200,63326.66095857547,-62126.66095857547
4161,364,63383.08437179157,-63019.08437179157
3896,3121,63429.35568948962,-60308.35568948962
